verbatim_fr,event_fr,confidence_fr
Imported since mid-age,imported since mid-age,low confidence
Possibly 1972,possibly 1972,low confidence
ca 1940,ca 1940,low confidence
1970s or later,1979 or later,low confidence
"1960s, 1980s",1968 1988,low confidence
ca 1900,ca 1900,low confidence
ca 1955,ca 1955,low confidence
ca 1870,ca 1870,low confidence
1994 or earlier,1994 or earlier,low confidence
Circa 1400,circa 1400,low confidence
Circa 1000,circa 1000,low confidence
Imported since mid-age,imported since mid-age,low confidence
Recent,recent,low confidence
1994 or earlier,1994 or earlier,low confidence
Just after WWII,just after wwii,low confidence
"After W W II, by 1971",after w w ii by 1971,low confidence
1990s or earlier,1996 or earlier,low confidence
ca 1865,ca 1865,low confidence
Pre WWII,pre wwii,low confidence
ca1900,ca1900,low confidence
1912 or earlier,1912 or earlier,low confidence
1877 or later,1877 or later,low confidence
Pre WWII,pre wwii,low confidence
ca 1920,ca 1920,low confidence
Circa 1870,circa 1870,low confidence
Circa 1955,circa 1955,low confidence
1911 � 1924,1911 � 1924,low confidence
Pre WWII,pre wwii,low confidence
Around 1950,around 1950,low confidence
2008 or earlier,2008 or earlier,low confidence
1976 or earlier,1976 or earlier,low confidence
ca 1870,ca 1870,low confidence
"ca 1870,",ca 1870,low confidence
Circa 1960,circa 1960,low confidence
<1893,<1893,low confidence
<1982,<1982,low confidence
<1788,<1788,low confidence
<2007,<2007,low confidence
<1992,<1992,low confidence
<2005,<2005,low confidence
1,1,low confidence
<1859 ,<1859,low confidence
<1942 ,<1942,low confidence
<1997 ,<1997,low confidence
<1997 ,<1997,low confidence
<1915 ,<1915,low confidence
<1910 ,<1910,low confidence
<1997 ,<1997,low confidence
<1950 ,<1950,low confidence
<1920 ,<1920,low confidence
<1965 ,<1965,low confidence
>1960 ,>1960,low confidence
<1997 ,<1997,low confidence
<1997 ,<1997,low confidence
<1996 ,<1996,low confidence
<1924 ,<1924,low confidence
<1921 ,<1921,low confidence
<1972 ,<1972,low confidence
<1921 ,<1921,low confidence
<1799,<1799,low confidence
perennial,perennial,low confidence
<1799,<1799,low confidence
<1799,<1799,low confidence
1950~,1950~,low confidence
1950~,1950~,low confidence
1800~,1800~,low confidence
1800~,1800~,low confidence
Modern times,modern times,low confidence
1850~,1850~,low confidence
900~,900~,low confidence
1930~,1930~,low confidence
1930~,1930~,low confidence
1970~,1970~,low confidence
1900~,1900~,low confidence
1900~,1900~,low confidence
1850~,1850~,low confidence
1970~,1970~,low confidence
1900~,1900~,low confidence
Mordern times,mordern times,low confidence
Ancient,ancient,low confidence
1940*,1940*,low confidence
1950*,1950*,low confidence
1850*,1850*,low confidence
Ancient,ancient,low confidence
1500*,1500*,low confidence
1950*,1950*,low confidence
Before 618,before 618,low confidence
1949*,1949*,low confidence
1980*,1980*,low confidence
1850*,1850*,low confidence
1900*,1900*,low confidence
1900*,1900*,low confidence
1900*,1900*,low confidence
1930*,1930*,low confidence
1930*,1930*,low confidence
1940*,1940*,low confidence
1900*,1900*,low confidence
After 25,after 25,low confidence
1950*,1950*,low confidence
Ancient,ancient,low confidence
1980*,1980*,low confidence
1980*,1980*,low confidence
1940*,1940*,low confidence
1920*,1920*,low confidence
1970*,1970*,low confidence
1950*,1950*,low confidence
1940*,1940*,low confidence
1960*,1960*,low confidence
Modern,modern,low confidence
1600*,1600*,low confidence
Modern,modern,low confidence
1900*,1900*,low confidence
Before 618,before 618,low confidence
Mordern,mordern,low confidence
Modern,modern,low confidence
Modern,modern,low confidence
1700*,1700*,low confidence
Mordern,mordern,low confidence
1940*,1940*,low confidence
Ancient,ancient,low confidence
BC 139,-139,low confidence
1990*,1990*,low confidence
1950*,1950*,low confidence
1980*,1980*,low confidence
1400*,1400*,low confidence
1600*,1600*,low confidence
1600*,1600*,low confidence
1850*,1850*,low confidence
Mordern,mordern,low confidence
1980*,1980*,low confidence
1930*,1930*,low confidence
1900*,1900*,low confidence
Modern,modern,low confidence
Modern,modern,low confidence
Modern,modern,low confidence
Ancient,ancient,low confidence
Before 2008,before 2008,low confidence
Modern,modern,low confidence
Modern,modern,low confidence
Modern,modern,low confidence
Modern,modern,low confidence
1930*,1930*,low confidence
1950*,1950*,low confidence
65,65,low confidence
1800*,1800*,low confidence
Ancient,ancient,low confidence
Ancient,ancient,low confidence
Ancient,ancient,low confidence
2000*,2000*,low confidence
1900*,1900*,low confidence
Mordern,mordern,low confidence
1980*,1980*,low confidence
1950*,1950*,low confidence
Ancient,ancient,low confidence
Mordern,mordern,low confidence
1980*,1980*,low confidence
1920*,1920*,low confidence
1900*,1900*,low confidence
>1990 - 1993,>1990 - 1993,low confidence
"1903, 1914 - 1966",1903 1914 - 1966,low confidence
1900-1999 - 1900,1900-1999 - 1900,low confidence
17c - 1830,17c - 1830,low confidence
1900-2000 - 1900,1900-2000 - 1900,low confidence
1950-2000 - 1950,1950-2000 - 1950,low confidence
1950-2000 - 1950,1950-2000 - 1950,low confidence
1900-2000 - 1900,1900-2000 - 1900,low confidence
1920-1980 - 1920,1920-1980 - 1920,low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
>1980,>1980,low confidence
>1980,>1980,low confidence
Begin 1980s,begin 1983,low confidence
End 1950s,end 1959,low confidence
>1980,>1980,low confidence
>1990,>1990,low confidence
1992/3,1992/3,low confidence
c 1900,c 1900,low confidence
1824�1845,1824�1845,low confidence
1824�1845,1824�1845,low confidence
1977 -  -,1977 - -,low confidence
<1930,<1930,low confidence
1996 (1994),1996 (1994),low confidence
before 1986,before 1986,low confidence
before 1986,before 1986,low confidence
1964 & 1970,1964 & 1970,low confidence
<1952,<1952,low confidence
Before 1846,before 1846,low confidence
Before 1796,before 1796,low confidence
Before 1881,before 1881,low confidence
Before 1950,before 1950,low confidence
<1817,<1817,low confidence
Before 1888,before 1888,low confidence
Beforte 1995,beforte 1995,low confidence
Before 1999,before 1999,low confidence
Before 1790,before 1790,low confidence
Before 1792,before 1792,low confidence
Before 1960,before 1960,low confidence
Before 1767,before 1767,low confidence
Before 1833,before 1833,low confidence
Before 1833,before 1833,low confidence
Before 1820,before 1820,low confidence
Before 1882,before 1882,low confidence
Before 1834,before 1834,low confidence
Before 1900,before 1900,low confidence
Before 1800,before 1800,low confidence
Before 1843,before 1843,low confidence
Before 1843,before 1843,low confidence
Before 1802,before 1802,low confidence
Before 1886,before 1886,low confidence
Before 1827,before 1827,low confidence
Before 1802,before 1802,low confidence
Before 1837,before 1837,low confidence
Before 1827,before 1827,low confidence
Before 1798,before 1798,low confidence
Firtst century AD,firtst century ad,low confidence
Before 200 AD,before 200 ad,low confidence
Before 1800,before 1800,low confidence
Before 1763,before 1763,low confidence
Before 1793,before 1793,low confidence
Before 1845,before 1845,low confidence
Before 1863,before 1863,low confidence
Before 1877,before 1877,low confidence
Before 1877,before 1877,low confidence
Before 1845,before 1845,low confidence
Before 1758,before 1758,low confidence
Before 1800,before 1800,low confidence
Before 1792,before 1792,low confidence
Before 1852,before 1852,low confidence
Before 1758,before 1758,low confidence
<1982,<1982,low confidence
Before 1783,before 1783,low confidence
Before 1834,before 1834,low confidence
Before 1834,before 1834,low confidence
Before 1900,before 1900,low confidence
1939�1945,1939�1945,low confidence
Before 1843,before 1843,low confidence
