verbatim_fr,event_fr,confidence_fr
"1960s, 1980s",19681988,low confidence
1911 � 1924,19111924,low confidence
BC 139,-139,low confidence
"1903, 1914 - 1966",19031914-1966,low confidence
1900-1999 - 1900,1900-1999-1900,low confidence
1900-2000 - 1900,1900-2000-1900,low confidence
1950-2000 - 1950,1950-2000-1950,low confidence
1950-2000 - 1950,1950-2000-1950,low confidence
1900-2000 - 1900,1900-2000-1900,low confidence
1920-1980 - 1920,1920-1980-1920,low confidence
1992/3,19923,low confidence
1824�1845,18241845,low confidence
1824�1845,18241845,low confidence
1996 (1994),19961994,low confidence
1964 & 1970,19641970,low confidence
1939�1945,19391945,low confidence
1906�1908,19061908,low confidence
4340�4450 BC,43404450,low confidence
1905(1960),19051960,low confidence
1890(1960),18901960,low confidence
1845(1960),18451960,low confidence
1794(1865),17941865,low confidence
1820 (1998),18201998,low confidence
1791(1830),17911830,low confidence
1830(1905),18301905,low confidence
17c(1830),171830,low confidence
1850(1964),18501964,low confidence
1830(1950),18301950,low confidence
1980(2011),19802011,low confidence
1853(1993),18531993,low confidence
1830(1984),18301984,low confidence
1830(1955),18301955,low confidence
1830(1979),18301979,low confidence
18c(1853),181853,low confidence
1982(2006),19822006,low confidence
1896(1947),18961947,low confidence
1876(1938),18761938,low confidence
1791(1948),17911948,low confidence
1900(1969),19001969,low confidence
1850(1931),18501931,low confidence
1830(1853),18301853,low confidence
1791(1830),17911830,low confidence
1830(1853),18301853,low confidence
1888(2008),18882008,low confidence
1878(1931),18781931,low confidence
1830 (1853),18301853,low confidence
1791(1926),17911926,low confidence
1910(1999),19101999,low confidence
1910(2011),19102011,low confidence
1830(1948),18301948,low confidence
1791(1866),17911866,low confidence
1980(2002),19802002,low confidence
1913(1984),19131984,low confidence
1830(1958),18301958,low confidence
1929(2005),19292005,low confidence
1911(1942),19111942,low confidence
1865(1931),18651931,low confidence
20c(2010),202010,low confidence
1830 (1936),18301936,low confidence
1890(1937),18901937,low confidence
1858(1958),18581958,low confidence
1858(1958),18581958,low confidence
1763(1985),17631985,low confidence
1794(2011),17942011,low confidence
1840(1972),18401972,low confidence
1870(1960),18701960,low confidence
1860(1960),18601960,low confidence
1952(1972),19521972,low confidence
1893(1948),18931948,low confidence
16c(1984),161984,low confidence
1876(1918),18761918,low confidence
1890(1997),18901997,low confidence
1911(1969),19111969,low confidence
1919(1989),19191989,low confidence
1845(2003),18452003,low confidence
1904(1992),19041992,low confidence
1909(1995),19091995,low confidence
1960(2003),19602003,low confidence
16c(1876),161876,low confidence
1890(1933),18901933,low confidence
1853(1998),18531998,low confidence
1933(1942),19331942,low confidence
1870(1968),18701968,low confidence
1937(1964),19371964,low confidence
1843(1843),18431843,low confidence
1895(1991),18951991,low confidence
1864(1916),18641916,low confidence
1869(1956),18691956,low confidence
1911(1975),19111975,low confidence
1946(1962),19461962,low confidence
1830(1977),18301977,low confidence
1890(1999),18901999,low confidence
1804(1986),18041986,low confidence
1870(1994),18701994,low confidence
1791(1830),17911830,low confidence
1806(1937),18061937,low confidence
1968(1984),19681984,low confidence
1794(1984),17941984,low confidence
1819(2011),18192011,low confidence
1830(1853),18301853,low confidence
1830(1956),18301956,low confidence
1855(1864),18551864,low confidence
1791(1876),17911876,low confidence
1811(2002),18112002,low confidence
1890(2002),18902002,low confidence
1830(1919),18301919,low confidence
1820(1982),18201982,low confidence
1881(1936),18811936,low confidence
1770(1984),17701984,low confidence
1900(2000),19002000,low confidence
1850(1982),18501982,low confidence
1871(1931),18711931,low confidence
1830(1993),18301993,low confidence
1910(1999),19101999,low confidence
1794(1960),17941960,low confidence
1901(2005),19012005,low confidence
1890(1931),18901931,low confidence
1993(2005),19932005,low confidence
1830(1956),18301956,low confidence
1928(1938),19281938,low confidence
1847(1964),18471964,low confidence
1895(1963),18951963,low confidence
1830(1956),18301956,low confidence
1830(1869),18301869,low confidence
1830(1956),18301956,low confidence
1791(1895),17911895,low confidence
1968(2011),19682011,low confidence
1997(2005),19972005,low confidence
1720(1830),17201830,low confidence
16c(2002),162002,low confidence
1791(1856),17911856,low confidence
